secid,date,ticker,low,high,open,close
108105,2018-06-15,SPX,2761.73,2782.81,2777.78,2779.66
108105,2018-06-18,SPX,2757.12,2774.99,2765.79,2773.75
108105,2018-06-19,SPX,2743.19,2765.05,2752.01,2762.59
108105,2018-06-20,SPX,2763.91,2774.86,2769.73,2767.32
108105,2018-06-21,SPX,2744.39,2769.28,2769.28,2749.76
108105,2018-06-22,SPX,2752.68,2764.17,2760.79,2754.88
108105,2018-06-25,SPX,2698.67,2742.94,2742.94,2717.07
108105,2018-06-26,SPX,2715.6,2732.91,2722.12,2723.06
108105,2018-06-27,SPX,2699.38,2746.09,2728.45,2699.63
108105,2018-06-28,SPX,2691.99,2724.34,2698.69,2716.31
108105,2018-06-29,SPX,2718.03,2743.26,2727.13,2718.37
108105,2018-07-02,SPX,2698.95,2727.26,2704.95,2726.71
108105,2018-07-03,SPX,2711.16,2736.58,2733.27,2713.22
108105,2018-07-05,SPX,2716.02,2737.83,2724.19,2736.61
108105,2018-07-06,SPX,2733.52,2764.41,2737.68,2759.82
108105,2018-07-09,SPX,2768.51,2784.65,2768.51,2784.17
108105,2018-07-10,SPX,2786.24,2795.58,2788.56,2793.84
108105,2018-07-11,SPX,2770.77,2785.91,2779.82,2774.02
108105,2018-07-12,SPX,2781.53,2799.22,2783.14,2798.29
108105,2018-07-13,SPX,2791.69,2804.53,2796.93,2801.31
108105,2018-07-16,SPX,2793.39,2803.71,2801.43,2798.43
108105,2018-07-17,SPX,2789.24,2814.19,2789.34,2809.55
108105,2018-07-18,SPX,2805.89,2816.76,2811.35,2815.62
108105,2018-07-19,SPX,2799.77,2812.05,2809.37,2804.49
108105,2018-07-20,SPX,2800.01,2809.7,2804.55,2801.83
108105,2018-07-23,SPX,2795.14,2808.61,2799.17,2806.98
108105,2018-07-24,SPX,2811.12,2829.99,2820.68,2820.4
108105,2018-07-25,SPX,2817.73,2848.03,2817.73,2846.07
108105,2018-07-26,SPX,2835.26,2845.57,2835.49,2837.44
108105,2018-07-27,SPX,2808.34,2843.17,2842.35,2818.82
108105,2018-07-30,SPX,2798.11,2821.74,2819,2802.6
108105,2018-07-31,SPX,2808.06,2824.46,2809.73,2816.29
108105,2018-08-01,SPX,2805.85,2825.83,2821.17,2813.36
108105,2018-08-02,SPX,2796.34,2829.91,2800.48,2827.22
108105,2018-08-03,SPX,2827.37,2840.38,2829.62,2840.35
108105,2018-08-06,SPX,2835.98,2853.29,2840.29,2850.4
108105,2018-08-07,SPX,2855.92,2863.43,2855.92,2858.45
108105,2018-08-08,SPX,2853.09,2862.44,2856.79,2857.7
108105,2018-08-09,SPX,2851.98,2862.48,2857.19,2853.58
108105,2018-08-10,SPX,2825.81,2842.2,2839.64,2833.28
108105,2018-08-13,SPX,2819.88,2843.4,2835.46,2821.93
108105,2018-08-14,SPX,2826.58,2843.11,2827.88,2839.96
108105,2018-08-15,SPX,2802.49,2827.95,2827.95,2818.37
108105,2018-08-16,SPX,2831.44,2850.49,2831.44,2840.69
108105,2018-08-17,SPX,2833.73,2855.63,2838.32,2850.13
108105,2018-08-20,SPX,2850.62,2859.76,2853.93,2857.05
108105,2018-08-21,SPX,2861.32,2873.23,2861.51,2862.96
108105,2018-08-22,SPX,2856.05,2867.54,2860.99,2861.82
108105,2018-08-23,SPX,2854.03,2868.78,2860.29,2856.98
108105,2018-08-24,SPX,2862.35,2876.16,2862.35,2874.69
108105,2018-08-27,SPX,2884.69,2898.25,2884.69,2896.74
108105,2018-08-28,SPX,2893.5,2903.77,2901.45,2897.52
108105,2018-08-29,SPX,2898.4,2916.5,2900.62,2914.04
108105,2018-08-30,SPX,2895.22,2912.46,2908.94,2901.13
108105,2018-08-31,SPX,2891.73,2906.32,2898.37,2901.52
108105,2018-09-04,SPX,2885.13,2900.18,2896.96,2896.72
108105,2018-09-05,SPX,2876.92,2894.21,2891.59,2888.6
108105,2018-09-06,SPX,2867.29,2892.05,2888.64,2878.05
108105,2018-09-07,SPX,2864.12,2883.81,2868.26,2871.68
108105,2018-09-10,SPX,2875.94,2886.93,2881.39,2877.13
108105,2018-09-11,SPX,2866.78,2892.52,2871.57,2887.89
108105,2018-09-12,SPX,2879.2,2894.65,2888.29,2888.92
108105,2018-09-13,SPX,2896.39,2906.76,2896.85,2904.18
108105,2018-09-14,SPX,2895.77,2908.3,2906.38,2904.98
108105,2018-09-17,SPX,2886.16,2904.65,2903.83,2888.8
108105,2018-09-18,SPX,2890.43,2911.17,2890.74,2904.31
108105,2018-09-19,SPX,2903.82,2912.36,2906.6,2907.95
108105,2018-09-20,SPX,2919.73,2934.8,2919.73,2930.75
108105,2018-09-21,SPX,2927.11,2940.91,2936.76,2929.67
108105,2018-09-24,SPX,2912.63,2923.79,2921.83,2919.37
108105,2018-09-25,SPX,2913.7,2923.95,2921.75,2915.56
108105,2018-09-26,SPX,2903.28,2931.15,2916.98,2905.97
108105,2018-09-27,SPX,2909.27,2927.22,2911.65,2914
108105,2018-09-28,SPX,2907.5,2920.53,2910.03,2913.98
108105,2018-10-01,SPX,2917.91,2937.06,2926.29,2924.59
108105,2018-10-02,SPX,2919.37,2931.42,2923.8,2923.43
108105,2018-10-03,SPX,2921.36,2939.86,2931.69,2925.51
108105,2018-10-04,SPX,2883.92,2919.78,2919.35,2901.61
108105,2018-10-05,SPX,2869.29,2909.64,2902.54,2885.57
108105,2018-10-08,SPX,2862.08,2889.45,2877.53,2884.43
108105,2018-10-09,SPX,2874.27,2894.83,2882.51,2880.34
108105,2018-10-10,SPX,2784.86,2874.02,2873.9,2785.68
108105,2018-10-11,SPX,2710.51,2795.14,2776.87,2728.37
108105,2018-10-12,SPX,2729.44,2775.77,2770.54,2767.13
108105,2018-10-15,SPX,2749.03,2775.99,2763.83,2750.79
108105,2018-10-16,SPX,2766.91,2813.46,2767.05,2809.92
108105,2018-10-17,SPX,2781.81,2816.94,2811.67,2809.21
108105,2018-10-18,SPX,2755.18,2806.04,2802,2768.78
108105,2018-10-19,SPX,2760.27,2797.77,2775.66,2767.78
108105,2018-10-22,SPX,2749.22,2778.94,2773.94,2755.88
108105,2018-10-23,SPX,2691.43,2753.59,2721.03,2740.69
108105,2018-10-24,SPX,2651.89,2742.59,2737.87,2656.1
108105,2018-10-25,SPX,2667.84,2722.7,2674.88,2705.57
108105,2018-10-26,SPX,2628.16,2692.38,2667.86,2658.69
108105,2018-10-29,SPX,2603.54,2706.85,2682.65,2641.25
108105,2018-10-30,SPX,2635.34,2685.43,2640.68,2682.63
108105,2018-10-31,SPX,2705.6,2736.69,2705.6,2711.74
108105,2018-11-01,SPX,2708.85,2741.67,2717.58,2740.37
108105,2018-11-02,SPX,2700.44,2756.55,2745.45,2723.06
108105,2018-11-05,SPX,2717.94,2744.27,2726.37,2738.31
108105,2018-11-06,SPX,2737.08,2756.82,2738.4,2755.45
108105,2018-11-07,SPX,2774.13,2815.15,2774.13,2813.89
108105,2018-11-08,SPX,2794.99,2814.75,2806.38,2806.83
108105,2018-11-09,SPX,2764.24,2794.1,2794.1,2781.01
108105,2018-11-12,SPX,2722,2775.99,2773.93,2726.22
